id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
127,Kaadehdhoo,0,05:52,17:59,06:21,100%,26°C,cloudy,12.5 mm,VARIABLE 01 mph,-,2019-11-28 00:00:04,2019-11-28 00:00:04
128,Kaadehdhoo,0,05:53,17:59,07:17,85%,28°C,cloudy,30.8 mm,VARIABLE 02 mph,-,2019-11-28 12:00:05,2019-11-28 12:00:05
129,Kaadehdhoo,0,05:53,17:59,07:17,94%,26°C,cloudy,30.8 mm,VARIABLE 02 mph,-,2019-11-29 00:00:06,2019-11-29 00:00:06
130,Kaadehdhoo,0,05:53,17:59,08:13,100%,24°C,slight rain,11.1 mm,VARIABLE 02 mph,-,2019-11-29 12:00:06,2019-11-29 12:00:06
131,Kaadehdhoo,0,05:53,17:59,08:13,91%,26°C,slight rain,11.1 mm,SW 09 mph,-,2019-11-30 00:00:11,2019-11-30 00:00:11
132,Kaadehdhoo,0,05:53,18:00,09:08,95%,26°C,slight rain,112.0 mm,WSW 07 mph,-,2019-11-30 12:00:06,2019-11-30 12:00:06
133,Kaadehdhoo,0,05:53,18:00,09:08,100%,25°C,cloudy,112.0 mm,CALM,-,2019-12-01 00:00:08,2019-12-01 00:00:08
134,Kaadehdhoo,0,05:54,18:00,10:00,80%,29°C,cloudy,29.3 mm,SSW 07 mph,-,2019-12-01 12:00:05,2019-12-01 12:00:05
135,Kaadehdhoo,0,05:54,18:00,10:00,90%,27°C,partly cloudy,29.3 mm,VARIABLE 02 mph,-,2019-12-02 00:00:05,2019-12-02 00:00:05
136,Kaadehdhoo,0,05:54,18:00,10:00,78%,30°C,partly cloudy,29.3 mm,SE 07 mph,-,2019-12-02 12:00:05,2019-12-02 12:00:05
137,Kaadehdhoo,0,05:54,18:00,10:00,85%,28°C,fine,29.3 mm,ESE 10 mph,-,2019-12-03 00:00:04,2019-12-03 00:00:04
138,Kaadehdhoo,0,05:54,18:01,11:34,75%,31°C,fine,29.3 mm,ESE 07 mph,-,2019-12-03 12:00:05,2019-12-03 12:00:05
139,Kaadehdhoo,0,05:54,18:01,11:34,87%,28°C,fine,29.3 mm,ESE 03 mph,-,2019-12-04 00:00:06,2019-12-04 00:00:06
140,Kaadehdhoo,0,05:55,18:01,12:18,80%,30°C,fine,3.5 mm,ESE 05 mph,-,2019-12-04 12:00:06,2019-12-04 12:00:06
141,Kaadehdhoo,0,05:55,18:01,12:18,88%,28°C,fine,3.5 mm,ESE 03 mph,-,2019-12-05 00:00:04,2019-12-05 00:00:04
142,Kaadehdhoo,0,05:55,18:01,13:00,88%,29°C,partly cloudy,4.6 mm,E 03 mph,-,2019-12-05 12:00:04,2019-12-05 12:00:04
143,Kaadehdhoo,0,05:55,18:01,13:00,87%,28°C,fine,4.6 mm,E 03 mph,-,2019-12-06 00:00:10,2019-12-06 00:00:10
144,Kaadehdhoo,0,05:55,18:01,13:00,91%,28°C,fine,20.6 mm,E 03 mph,-,2019-12-07 00:00:04,2019-12-07 00:00:04
145,Kaadehdhoo,0,05:56,18:02,14:22,77%,31°C,fine,9.8 mm,E 03 mph,-,2019-12-07 12:00:06,2019-12-07 12:00:06
146,Kaadehdhoo,0,05:56,18:02,14:22,87%,28°C,fine,9.8 mm,E 05 mph,-,2019-12-08 00:00:10,2019-12-08 00:00:10
147,Kaadehdhoo,0,05:56,18:03,15:04,75%,31°C,fine,0.7 mm,E 06 mph,-,2019-12-08 12:00:04,2019-12-08 12:00:04
148,Kaadehdhoo,0,05:56,18:03,15:04,85%,29°C,partly cloudy,0.7 mm,E 06 mph,-,2019-12-09 00:00:10,2019-12-09 00:00:10
149,Kaadehdhoo,0,05:56,18:03,15:04,76%,30°C,partly cloudy,0.7 mm,SE 09 mph,-,2019-12-09 12:00:06,2019-12-09 12:00:06
150,Kaadehdhoo,0,05:56,18:03,15:04,80%,29°C,lightning,0.7 mm,SE 06 mph,-,2019-12-10 00:00:07,2019-12-10 00:00:07
151,Kaadehdhoo,0,05:57,18:04,16:35,98%,25°C,partly cloudy,20.9 mm,VARIABLE 01 mph,-,2019-12-11 00:00:06,2019-12-11 00:00:06
152,Kaadehdhoo,0,05:57,18:04,16:35,74%,31°C,fine,7.0 mm,SSE 05 mph,-,2019-12-11 12:00:09,2019-12-11 12:00:09
153,Kaadehdhoo,0,05:57,18:04,16:35,89%,26°C,slight shower,7.0 mm,NW 06 mph,-,2019-12-12 00:00:10,2019-12-12 00:00:10
154,Kaadehdhoo,0,05:57,18:04,16:35,93%,26°C,slight rain,16.9 mm,CALM,-,2019-12-12 12:00:04,2019-12-12 12:00:04
155,Kaadehdhoo,0,05:57,18:04,16:35,94%,26°C,slight rain,16.9 mm,WNW 06 mph,-,2019-12-13 00:00:09,2019-12-13 00:00:09
156,Kaadehdhoo,0,05:57,18:04,16:35,90%,26°C,slight shower,29.1 mm,CALM,-,2019-12-13 12:00:12,2019-12-13 12:00:12
