id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
158,Hanimadhoo,1,06:00,17:54,15:00,73%,31°C,fine,TRACE,E 08 mph,5:24,2019-12-08 12:00:07,2019-12-08 12:00:07
159,Hanimadhoo,1,06:01,17:55,15:42,73%,31°C,fine,NIL,ENE 08 mph,10:24,2019-12-09 12:00:04,2019-12-09 12:00:04
160,Hanimadhoo,1,06:01,17:55,15:42,77%,29°C,fine,NIL,E 08 mph,9:06,2019-12-10 00:00:07,2019-12-10 00:00:07
161,Hanimadhoo,1,06:01,17:55,16:28,69%,31°C,fine,NIL,NE 06 mph,9:06,2019-12-10 12:00:05,2019-12-10 12:00:05
162,Hanimadhoo,1,06:02,17:56,17:18,71%,31°C,fine,NIL,ENE 06 mph,9:54,2019-12-11 12:00:12,2019-12-11 12:00:12
163,Hanimadhoo,1,06:02,17:56,17:18,92%,26°C,cloudy,NIL,VARIABLE 02 mph,8:42,2019-12-12 00:00:05,2019-12-12 00:00:05
164,Hanimadhoo,1,06:02,17:56,18:11,77%,30°C,partly cloudy,3.8 mm,ENE 07 mph,8:42,2019-12-12 12:00:04,2019-12-12 12:00:04
165,Hanimadhoo,1,06:02,17:56,18:11,93%,26°C,fine,3.8 mm,NNE 03 mph,7:36,2019-12-13 00:00:06,2019-12-13 00:00:06
166,Hanimadhoo,1,06:03,17:56,19:07,75%,31°C,fine,TRACE,ENE 06 mph,7:36,2019-12-13 12:00:06,2019-12-13 12:00:06
167,Hanimadhoo,1,06:03,17:56,19:07,92%,26°C,fine,TRACE,CALM,9:42,2019-12-14 00:00:05,2019-12-14 00:00:05
168,Hanimadhoo,1,06:03,17:57,20:06,77%,30°C,partly cloudy,NIL,NNW 06 mph,9:42,2019-12-14 12:00:10,2019-12-14 12:00:10
169,Hanimadhoo,1,06:03,17:57,20:06,88%,27°C,partly cloudy,NIL,ENE  09 mph,6:24,2019-12-15 00:00:05,2019-12-15 00:00:05
